Client_Num,Customer_Age,Gender,Dependent_Count,Education_Level,Marital_Status,state_cd,Zipcode,Car_Owner,House_Owner,Personal_loan,contact,Customer_Job,Income,Cust_Satisfaction_Score
963607849,42,F,3,Uneducated,Married,CA,91750,no,no,yes,cellular,Govt,30574,1
932954954,62,F,0,High School,Unknown,NY,91750,yes,no,no,cellular,Selfemployeed,57679,2
961650885,47,F,3,Doctorate,Married,NJ,91750,no,no,no,unknown,Blue-collar,152263,1
917695309,49,M,5,Graduate,Married,TX,91750,no,no,no,cellular,Businessman,43653,4
957309271,53,F,3,Graduate,Married,NY,91750,no,no,no,cellular,Selfemployeed,47883,2
967838008,47,F,4,Post-Graduate,Single,TX,91750,no,yes,no,cellular,Selfemployeed,52038,1
953057861,42,F,4,High School,Married,CA,91750,yes,no,no,cellular,White-collar,75239,3
945043270,40,F,4,Graduate,Married,FL,91750,no,no,no,unknown,Businessman,32035,5
947028265,45,F,3,Graduate,Married,TX,91750,yes,yes,no,cellular,Retirees,40270,3
949911663,54,F,3,Uneducated,Married,CA,91750,no,no,no,cellular,Businessman,55396,4
943996401,51,F,1,Doctorate,Married,NV,91750,no,yes,no,unknown,Selfemployeed,194975,5
929315398,31,M,1,Graduate,Single,CA,91750,no,no,no,telephone,Selfemployeed,45468,5
943593234,37,M,3,Graduate,Married,FL,91750,no,yes,no,cellular,Businessman,107421,5
934327500,60,F,1,Graduate,Single,NY,91750,yes,no,no,cellular,Selfemployeed,38459,4
911454729,46,F,4,Graduate,Single,CA,91750,yes,no,no,cellular,Businessman,55057,4
935287245,42,M,4,Graduate,Single,TX,91750,no,no,no,cellular,Govt,58212,5
961848959,54,F,1,High School,Single,CA,91750,yes,yes,no,cellular,Selfemployeed,26354,4
947702871,34,M,3,High School,Married,MN,91750,no,no,no,cellular,Blue-collar,70156,5
922362219,49,F,4,Unknown,Single,TX,91750,no,yes,no,cellular,Govt,30752,5
924088631,43,F,5,High School,Unknown,CA,91750,no,yes,no,cellular,White-collar,58333,1
950336899,47,F,3,Uneducated,Unknown,TX,91750,no,no,no,cellular,Govt,16492,2
925516289,39,F,3,Graduate,Unknown,TX,91750,no,yes,no,cellular,Selfemployeed,14975,1
943430295,51,M,1,Unknown,Married,FL,91750,no,no,no,cellular,Retirees,68986,4
915913364,41,F,5,Post-Graduate,Married,CA,91750,no,yes,no,cellular,Blue-collar,13212,2
966969386,43,F,3,Graduate,Married,TX,91750,no,no,yes,cellular,Selfemployeed,32183,1
913497216,47,F,2,Graduate,Single,FL,91750,no,yes,no,cellular,White-collar,31045,3
956347577,64,F,0,High School,Single,NY,91750,yes,no,no,cellular,Selfemployeed,14198,4
953007255,59,F,1,High School,Single,TX,91750,yes,no,no,cellular,Selfemployeed,32287,5
955406656,46,M,4,Graduate,Single,NJ,91750,no,yes,no,cellular,White-collar,125955,5
947484249,47,M,2,Unknown,Single,FL,91750,yes,no,no,unknown,Blue-collar,84114,5
941380773,64,M,0,Graduate,Married,FL,91750,yes,yes,no,cellular,Blue-collar,29987,3
931132980,53,M,2,Graduate,Married,CA,91750,no,no,no,cellular,Selfemployeed,84494,5
917790215,53,M,3,High School,Single,NY,91750,no,no,no,cellular,Businessman,63867,4
956622169,42,F,3,Unknown,Married,CA,91750,yes,no,yes,cellular,Selfemployeed,14975,5
951838000,53,F,3,Uneducated,Single,CA,91750,no,yes,no,cellular,Retirees,25214,1
945116424,54,M,4,Graduate,Married,TX,91750,no,yes,no,cellular,Businessman,169176,2
968501827,54,M,5,High School,Married,NJ,91750,no,no,no,cellular,Govt,66027,1
931999941,44,M,2,Doctorate,Single,IL,91750,yes,no,no,cellular,Retirees,64739,4
941573611,33,F,3,Graduate,Single,NJ,91750,yes,yes,no,cellular,Selfemployeed,55187,2
916963751,47,M,4,Uneducated,Unknown,UT,91750,no,no,no,cellular,Selfemployeed,14975,1
918786049,64,M,0,Doctorate,Married,UT,91750,no,no,no,cellular,Blue-collar,49664,5
913812366,33,F,2,Uneducated,Unknown,CA,91750,yes,yes,no,cellular,Retirees,36705,3
915143266,42,F,3,Graduate,Married,CA,91750,yes,no,no,cellular,Selfemployeed,12937,4
930291935,61,F,1,High School,Single,CA,91750,no,no,no,cellular,Govt,34941,4
915205717,46,M,2,High School,Single,TX,91750,no,yes,no,cellular,Blue-collar,25619,5
958819124,39,F,2,Uneducated,Single,NJ,91750,yes,no,no,unknown,Retirees,22287,5
952357833,47,F,2,Graduate,Married,CA,91750,yes,yes,yes,telephone,Govt,36074,4
916571137,49,F,3,Unknown,Single,TX,91750,no,yes,no,cellular,Selfemployeed,21265,4
949434569,65,F,1,Unknown,Married,NJ,91750,yes,no,no,cellular,Selfemployeed,162150,4
932064980,51,F,3,Post-Graduate,Married,NY,91750,no,yes,no,cellular,Selfemployeed,181224,4
945888653,48,M,3,Uneducated,Single,NY,91750,no,no,no,cellular,White-collar,131235,3
966959006,45,F,4,Graduate,Single,CA,91750,yes,no,no,cellular,Blue-collar,13394,5
940222172,28,M,0,High School,Single,TX,91750,no,yes,yes,unknown,Selfemployeed,25098,4
945679996,49,F,3,Graduate,Single,TX,91750,no,yes,no,cellular,Selfemployeed,2565,5
943617000,42,M,4,High School,Married,NY,91750,no,no,yes,cellular,Govt,87966,1
915597750,42,M,3,Graduate,Married,NJ,91750,no,yes,yes,cellular,Blue-collar,116339,2
922338165,31,F,0,Post-Graduate,Single,TX,91750,yes,yes,no,cellular,Retirees,59168,1
960285137,44,F,2,High School,Single,FL,91750,yes,yes,yes,cellular,White-collar,37853,4
925267022,55,M,0,Doctorate,Married,SC,91750,no,yes,no,cellular,Businessman,69577,2
911841712,56,F,3,Graduate,Single,CA,91750,no,no,no,unknown,Selfemployeed,188250,1
964700464,55,M,3,Graduate,Single,FL,91750,yes,no,no,unknown,White-collar,141448,4
936122170,38,F,4,Graduate,Single,FL,91750,no,no,no,cellular,Blue-collar,16053,5
